country,year,enep,disprop,pr,plurality,closeness,growth,lnincome,pec1,pec20,vote_pec,smallpec,largepec,turnout,year2,enep_bw,disprop_bw,pr_bw,plurality_bw,closeness_bw,growth_bw,lnincome_bw,pec1_bw,pec20_bw,vote_pec_bw,smallpec_bw,largepec_bw,turnout_bw,enep_wi,disprop_wi,pr_wi,plurality_wi,closeness_wi,growth_wi,lnincome_wi,pec1_wi,pec20_wi,vote_pec_wi,smallpec_wi,largepec_wi,turnout_wi
Netherlands,1994,5.71000003814697,1.08000004291534,1,0,1.79999923706055,2.3421600275942893,9.898945808410645,0,0,0,0,0,0.786999969482422,19940,5.309999979459321,1.2432619076508746,1,0,3.5415380764007587,1.3904823535834498,9.841270153339092,0.46153846153846156,0.46153846153846156,0.24905384944035455,0.15384615384615385,0.3076923076923077,0.8088384474534255,0.4000000586876489,-0.1632618647355346,0,0,-1.7415388393402087,0.9516776740108395,0.057675655071552256,-0.46153846153846156,-0.46153846153846156,-0.24905384944035455,-0.15384615384615385,-0.3076923076923077,-0.021838477971003467
Netherlands,1998,5.1399998664856,1.27999997138977,1,0,4.29999923706055,3.2846014478304966,10.022639274597168,1,1,0.627000007629395,0,1,0.731999969482422,19980,5.309999979459321,1.2432619076508746,1,0,3.5415380764007587,1.3904823535834498,9.841270153339092,0.46153846153846156,0.46153846153846156,0.24905384944035455,0.15384615384615385,0.3076923076923077,0.8088384474534255,-0.17000011297372097,0.03673806373889543,0,0,0.7584611606597917,1.8941190942470467,0.1813691212580757,0.5384615384615384,0.5384615384615384,0.3779461581890404,-0.15384615384615385,0.6923076923076923,-0.07683847797100352
Netherlands,2002,6.03999996185303,0.879999995231628,1,0,10.8999996185303,-0.5604311698115936,10.099177360534668,0,0,0,0,0,0.7909999847412109,20020,5.309999979459321,1.2432619076508746,1,0,3.5415380764007587,1.3904823535834498,9.841270153339092,0.46153846153846156,0.46153846153846156,0.24905384944035455,0.15384615384615385,0.3076923076923077,0.8088384474534255,0.7299999823937089,-0.36326191241924666,0,0,7.358461542129541,-1.9509135233950434,0.2579072071955757,-0.46153846153846156,-0.46153846153846156,-0.24905384944035455,-0.15384615384615385,-0.3076923076923077,-0.017838462712214564
Netherlands,2003,4.98,1.36,1,0,1.36,-0.13667880607133043,10.097808837890625,0,0,0,0,0,0.8004000000000001,20030,5.309999979459321,1.2432619076508746,1,0,3.5415380764007587,1.3904823535834498,9.841270153339092,0.46153846153846156,0.46153846153846156,0.24905384944035455,0.15384615384615385,0.3076923076923077,0.8088384474534255,-0.3299999794593207,0.11673809234912547,0,0,-2.1815380764007584,-1.5271611596547803,0.2565386845515327,-0.46153846153846156,-0.46153846153846156,-0.24905384944035455,-0.15384615384615385,-0.3076923076923077,-0.008438447453425368
Netherlands,2006,5.8,1.26,1,0,4.32,3.2282563278449743,10.166147232055664,0,0,0,0,0,0.8035,20060,5.309999979459321,1.2432619076508746,1,0,3.5415380764007587,1.3904823535834498,9.841270153339092,0.46153846153846156,0.46153846153846156,0.24905384944035455,0.15384615384615385,0.3076923076923077,0.8088384474534255,0.4900000205406787,0.016738092349125377,0,0,0.7784619235992416,1.8377739742615244,0.3248770787165718,-0.46153846153846156,-0.46153846153846156,-0.24905384944035455,-0.15384615384615385,-0.3076923076923077,-0.005338447453425488
Netherlands,2010,6.97,1.03,1,0,0.86,1.169317558383625,10.186890602111816,0,0,0,0,0,0.754,20100,5.309999979459321,1.2432619076508746,1,0,3.5415380764007587,1.3904823535834498,9.841270153339092,0.46153846153846156,0.46153846153846156,0.24905384944035455,0.15384615384615385,0.3076923076923077,0.8088384474534255,1.6600000205406786,-0.2132619076508746,0,0,-2.681538076400759,-0.2211647951998248,0.34562044877272413,-0.46153846153846156,-0.46153846153846156,-0.24905384944035455,-0.15384615384615385,-0.3076923076923077,-0.054838447453425476
NewZealand,1972,2.4300000667572,12.0595417022705,0,1,6.86999893188477,3.38043444126592,2.346036434173584,0,0,0,0,0,0.8980000305175779,19720,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,-0.7160713502338973,2.5186109583718324,-0.42857142857142855,0,-0.7557152175903319,NA,NA,-0.21428571428571427,-0.14285714285714285,-0.07141428666796003,-0.07142857142857142,-0.14285714285714285,0.04253575679234067
NewZealand,1975,2.54999995231628,12.903489112854,0,1,8,-3.73715685970143,2.400084972381592,0,0,0,0,0,0.832000045776367,19750,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,-0.5960714646748171,3.362558368955332,-0.42857142857142855,0,0.37428585052489804,NA,NA,-0.21428571428571427,-0.14285714285714285,-0.07141428666796003,-0.07142857142857142,-0.14285714285714285,-0.023464227948870264
NewZealand,1978,2.86999988555908,15.5500001907349,0,1,0.600002288818359,0.19721303454522854,9.223196029663086,0,0,0,0,0,0.848999938964844,19780,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,-0.27607153143201746,6.009069446836232,-0.42857142857142855,0,-7.025711860656743,NA,NA,-0.21428571428571427,-0.14285714285714285,-0.07141428666796003,-0.07142857142857142,-0.14285714285714285,-0.006464334760393209
NewZealand,1981,2.89000010490417,16.6299991607666,0,1,0.229999542236328,3.451420305287627,9.286027908325195,0,0,0,0,0,0.913999938964844,19810,3.1460714169910973,9.540930743898668,0.42857142857142855,1,7.625714149475102,NA,NA,0.21428571428571427,0.14285714285714285,0.07141428666796003,0.07142857142857142,0.14285714285714285,0.8554642737252373,-0.25607131208692735,7.089068416867933,-0.42857142857142855,0,-7.395714607238774,NA,NA,-0.21428571428571427,-0.14285714285714285,-0.07141428666796003,-0.07142857142857142,-0.14285714285714285,0.05853566523960674
